Substance,Period,Date,Value1,Value2,Value3,Value4
SO 2,24h,01.12.2020,125,125,8,8
ČAĐ,24h,01.12.2020,50,8,11,15
NO,2 24h,01.12.2020,85,125,14,13
NH3,24h,01.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.12.2020,5,,,
UV,24h,01.12.2020,11,,,
Benzen,24h,,,,,
SO 2,24h,02.12.2020,125,125,8,8
ČAĐ,24h,02.12.2020,50,5,11,8
NO,2 24h,02.12.2020,85,125,10,12
NH3,24h,02.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,29.11.2020,50,75,39,
BC,24h,02.12.2020,2,,,
UV,24h,02.12.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,03.12.2020,125,125,8,8
ČAĐ,24h,03.12.2020,50,6,12,10
NO,2 24h,03.12.2020,85,125,8,8
NH3,24h,03.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.12.2020,1,,,
UV,24h,03.12.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,04.12.2020,125,125,8,8
ČAĐ,24h,04.12.2020,50,4,4,4
NO,2 24h,04.12.2020,85,125,9,9
NH3,24h,04.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.12.2020,1,,,
UV,24h,04.12.2020,3,,,
Benzen,24h,,,,,
SO 2,24h,05.12.2020,125,125,8,8
ČAĐ,24h,05.12.2020,50,6,7,8
NO,2 24h,05.12.2020,85,125,7,7
NH3,24h,05.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,02.12.2020,50,75,25,
BC,24h,05.12.2020,1,,,
UV,24h,05.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,06.12.2020,125,125,8,8
ČAĐ,24h,06.12.2020,50,4,4,4
NO,2 24h,06.12.2020,85,125,5,7
NH3,24h,06.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.12.2020,1,,,
UV,24h,06.12.2020,2,,,
Benzene,24h,,,2,,
SO 2,24h,07.12.2020,125,125,8,8
ČAĐ,24h,07.12.2020,50,4,4,4
NO,2 24h,07.12.2020,85,125,7,8
NH3,24h,07.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.12.2020,0,,,
UV,24h,07.12.2020,2,,,
Benzen,24h,,,,,
SO 2,24h,08.12.2020,125,125,8,8
ČAĐ,24h,08.12.2020,50,4,4,5
NO,2 24h,08.12.2020,85,125,7,9
NH3,24h,08.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,05.12.2020,50,75,19,
BC,24h,08.12.2020,1,,,
UV,24h,08.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,09.12.2020,125,125,8,8
ČAĐ,24h,09.12.2020,50,15,13,17
NO,2 24h,09.12.2020,85,125,25,20
NH3,24h,09.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.12.2020,5,,,
UV,24h,09.12.2020,10,,,
Benzen,24h,,,,,
SO 2,24h,10.12.2020,125,125,8,8
ČAĐ,24h,10.12.2020,50,15,13,17
NO,2 24h,10.12.2020,85,125,25,20
NH3,24h,10.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.12.2020,5,,,
UV,24h,10.12.2020,10,,,
Benzen,24h,,,,,
SO 2,24h,11.12.2020,125,125,8,9
ČAĐ,24h,11.12.2020,50,6,11,9
NO,2 24h,11.12.2020,85,125,14,14
NH3,24h,11.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.12.2020,3,,,
UV,24h,11.12.2020,7,,,
Benzen,24h,,,,,
SO 2,24h,12.12.2020,125,125,8,8
ČAĐ,24h,12.12.2020,50,6,11,10
NO,2 24h,12.12.2020,85,125,4,13
NH3,24h,12.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.12.2020,3,,,
UV,24h,12.12.2020,7,,,
Benzene,24h,,,2,,
SO 2,24h,13.12.2020,125,125,8,8
ČAĐ,24h,13.12.2020,50,9,8,12
NO,2 24h,13.12.2020,85,125,26,14
NH3,24h,13.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.12.2020,2,,,
UV,24h,13.12.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,14.12.2020,125,125,8,8
ČAĐ,24h,14.12.2020,50,7,7,8
NO,2 24h,14.12.2020,85,125,19,13
NH3,24h,14.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,11.12.2020,50,75,40,
BC,24h,14.12.2020,2,,,
UV,24h,14.12.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,15.12.2020,125,125,8,10
ČAĐ,24h,15.12.2020,50,7,6,9
NO,2 24h,15.12.2020,85,125,19,12
NH3,24h,15.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.12.2020,,,,
UV,24h,15.12.2020,,,,
Benzen,24h,,,,,
SO 2,24h,16.12.2020,125,125,8,8
ČAĐ,24h,16.12.2020,50,19,15,19
NO,2 24h,16.12.2020,85,125,19,22
NH3,24h,16.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.12.2020,3,,,
UV,24h,16.12.2020,6,,,
Benzen,24h,,,,,
SO 2,24h,17.12.2020,125,125,8,8
ČAĐ,24h,17.12.2020,50,24,16,16
NO,2 24h,17.12.2020,85,125,36,25
NH3,24h,17.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,14.12.2020,50,75,25,
BC,24h,17.12.2020,7,,,
UV,24h,17.12.2020,13,,,
Benzen,24h,,,,,
SO 2,24h,18.12.2020,125,125,8,8
ČAĐ,24h,18.12.2020,50,10,7,13
NO,2 24h,18.12.2020,85,125,20,30
NH3,24h,18.12.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.12.2020,6,,,
UV,24h,18.12.2020,11,,,
Benzene,24h,,,2,,
SO 2,24h,19.12.2020,125,125,8,8
ČAĐ,24h,19.12.2020,50,10,10,13
NO,2 24h,19.12.2020,85,125,21,11
NH3,24h,19.12.2020,100,7,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.12.2020,4,,,
UV,24h,19.12.2020,9,,,
Benzen,24h,,,,,
